ID,Název,Zeměpisná šířka,Zeměpisná délka
2941,Hospozín,nad kostelem ,50.3073769,14.1744394
2941,Hospozín,nad kostelem ,50.30748,14.1743326
2095,Hostomice n.Bílinou,50.585144,13.8102417
2095,Hostomice nad Bílinou,50.585144,13.8102417
399,Hostomice,Tuchlov rozc.,50.60079,13.8081818
399,Hostomice,Tuchlov rozc.,50.6019249,13.8081923
395,Hostomice,kolonie,50.588974,13.7938929
395,Hostomice,kolonie,50.5889,13.7934818
396,Hostomice,nadjezd,50.5893021,13.79877
396,Hostomice,nadjezd,50.58935,13.7993155
397,Hostomice,nám.,50.5880737,13.807272
397,Hostomice,nám.,50.588047,13.8075638
398,Hostomice,sklárna,50.5875053,13.8000669
398,Hostomice,sklárna,50.5871162,13.8005705
2093,Hořesedly,50.1621132,13.6038656
2093,Hořesedly,50.16225,13.6039248
2093,Hořesedly,0.0,0.0
2093,Hořesedly,0.0,0.0
2791,Hořesedly,u školy,50.1619339,13.5994568
2791,Hořesedly,u školy,50.161953,13.599555
2094,Hořetice,50.37902,13.5038033
2094,Hořetice,50.37902,13.5038033
2860,Hořešovice,50.2706146,13.9654493
2860,Hořešovice,50.27042,13.9649773
2859,Hořešovičky,50.27459,13.95614
2859,Hořešovičky,50.27468,13.9562044
2787,Hořovičky,50.15555,13.5304289
2787,Hořovičky,50.15572,13.5305157
2786,Hořovičky,Hokov,rozc.,50.15948,13.5566826
2786,Hořovičky,Hokov,rozc.,50.1595726,13.5565329
2846,Hořín,50.34438,14.4626465
2846,Hořín,50.3447075,14.4625378
2845,Hořín,Brozánky,50.34931,14.4592066
2845,Hořín,Brozánky,50.3495064,14.4595556
2890,Hořín,Brozánky,Staré Brozánky,50.3531,14.4603186
2890,Hořín,Brozánky,Staré Brozánky,50.35259,14.4603539
2847,Hořín,Vrbno,50.3247032,14.4513712
2847,Hořín,Vrbno,50.3246155,14.4513664
2848,Hořín,Zelčín,50.3246155,14.4513664
2848,Hořín,Zelčín,50.3255959,14.4399433
406,Hoštka,50.49156,14.327239
407,Hoštka,50.4867325,14.3340874
407,Hoštka,50.48665,14.3354769
406,Hoštka (žst),50.49156,14.327239
402,Hoštka,Malešov,50.5098572,14.3221016
402,Hoštka,Malešov,50.509922,14.3222017
401,Hoštka,Malešov,rozc.,50.5111351,14.3121586
401,Hoštka,Malešov,rozc.,50.5111847,14.3122759
403,Hoštka,Na vyhlídce,50.4781647,14.3474512
403,Hoštka,Na vyhlídce,50.4782677,14.3471727
1852,Hoštka,Velešice,50.4892235,14.3601007
1852,Hoštka,Velešice,50.48914,14.3602037
405,Hoštka,Velešická,50.487854,14.3396978
405,Hoštka,Velešická,50.487812,14.3394508
404,Hoštka,nám.,50.48912,14.3357248
404,Hoštka,nám.,50.48911,14.33582
404,Hoštka,nám.,50.48892,14.3355722
404,Hoštka,nám.,50.4889,14.335743
2949,Hoštka,škola,50.4888954,14.3304653
406,Hoštka,žel.st.,50.4901581,14.3267765
406,Hoštka,žel.st.,50.4900475,14.3268433
2416,Hradec u Kadaně,50.3590927,13.3080721
2416,Hradec u Kadaně,50.3590927,13.3080721
410,Hradečná,rozc.1.0,50.4967766,13.37389
410,Hradečná,rozc.1.0,50.49651,13.3738537
2097,Hradiště v Čechách,50.59367,13.8760633
2097,Hradiště v Čechách,50.5936737,13.875865
2098,Hrdly,50.4851036,14.1744146
2098,Hrdly,50.4851036,14.1744146
3114,Hrdlív,50.19933,14.0719366
3114,Hrdlív,50.1993637,14.072073
416,Hrob,50.65693,13.7256823
416,Hrob,50.6571541,13.7263308
2099,Hrob (žst),50.659996,13.722621
2099,Hrob (žst),50.659996,13.722621
415,Hrob,Beseda,50.6544571,13.7212944
415,Hrob,Beseda,50.6543655,13.7213726
411,Hrob,Křižanov,50.6519547,13.7153549
411,Hrob,Křižanov,50.652,13.7152309
414,Hrob,Mlýny,50.66192,13.7307463
414,Hrob,Mlýny,50.66086,13.7326069
414,Hrob,Mlýny,50.66123,13.7305346
412,Hrob,Mlýny,myslivna,50.6715775,13.7267389
412,Hrob,Mlýny,myslivna,50.67154,13.7266188
413,Hrob,Mlýny,záv.,50.6651154,13.7293768
413,Hrob,Mlýny,záv.,50.6650925,13.7292252
419,Hrobce,50.4626045,14.2296991
419,Hrobce,50.46255,14.2298107
2100,Hrobce (žst),50.45986,14.2290649
2100,Hrobce (žst),50.45986,14.2290649
2100,Hrobce (žst),50.45986,14.2290649
417,Hrobce,Rohatce,50.4604874,14.2045689
417,Hrobce,Rohatce,50.46065,14.2046661
417,Hrobce,Rohatce,50.45996,14.2022772
418,Hrobce,žel.st.,50.46235,14.2268114
418,Hrobce,žel.st.,50.46229,14.2267962
422,Hrobčice,50.5189857,13.7831459
422,Hrobčice,50.5192375,13.78323
2358,Hrobčice,Chouč,rozc.,50.5104828,13.77042
2358,Hrobčice,Chouč,rozc.,50.5105553,13.7704172
782,Hrobčice,Kučlín,50.5318832,13.7964506
782,Hrobčice,Kučlín,50.5319557,13.7964621
420,Hrobčice,Mirošovice,50.50412,13.7851887
420,Hrobčice,Mirošovice,50.5041,13.7852917
2357,Hrobčice,Mirošovice,zámek,50.5051155,13.7816877
2357,Hrobčice,Mirošovice,zámek,50.50515,13.781868
1118,Hrobčice,Mrzlice,50.5123329,13.8118019
1118,Hrobčice,Mrzlice,50.5122948,13.8118687
1128,Hrobčice,Mukov,50.5039024,13.8374357
1128,Hrobčice,Mukov,50.503952,13.8372545
1360,Hrobčice,Razice,50.52173,13.8089962
1360,Hrobčice,Razice,50.5215454,13.8086681
1360,Hrobčice,Razice,50.5224762,13.8090239
1360,Hrobčice,Razice,50.5223846,13.8089027
1704,Hrobčice,Tvrdín,50.5031471,13.80312
1704,Hrobčice,Tvrdín,50.5031357,13.8029938
163,Hrobčice,Červený Újezd,50.4898,13.8441572
2550,Hrobčice,Červený Újezd,Ke Mlýnu,50.4918442,13.842865
162,Hrobčice,Červený Újezd,rozc.,50.49618,13.8407784
162,Hrobčice,Červený Újezd,rozc.,50.4961433,13.8406315
421,Hrobčice,školka,50.51751,13.7857361
421,Hrobčice,školka,50.5175362,13.786685
424,Hrušovany,50.386364,13.4980116
424,Hrušovany,50.3865242,13.4982443
424,Hrušovany,50.38868,13.49798
424,Hrušovany,50.3887062,13.4978876
423,Hrušovany,Na jezerech,50.39342,13.50355
423,Hrušovany,Na jezerech,50.39344,13.5037441
2595,Hrušovany,bytový dům,0.0,0.0
2965,Hrušovany,křiž.,50.3886375,13.4979849
2965,Hrušovany,křiž.,50.3887138,13.49795
2096,Hrádek n.Nisou,0.0,0.0
2096,Hrádek nad Nisou,0.0,0.0
451,Huntířov,50.7894249,14.3027611
451,Huntířov,50.7893181,14.30272
451,Huntířov,50.78866,14.3034658
451,Huntířov,50.7888565,14.3034506
445,Huntířov,Nová Oleška,rozc.,50.8114738,14.3205576
445,Huntířov,Nová Oleška,rozc.,50.8115578,14.3206959
2471,Huntířov,Nová Oleška,rybník,50.8105431,14.3208189
2471,Huntířov,Nová Oleška,rybník,50.81036,14.3202858
446,Huntířov,Nová Oleška,škola,50.80655,14.3229551
446,Huntířov,Nová Oleška,škola,50.80649,14.3229246
447,Huntířov,Stará Oleška,koupaliště,50.80111,14.3354034
447,Huntířov,Stará Oleška,koupaliště,50.80106,14.3353567
448,Huntířov,Stará Oleška,škola,50.8006363,14.3328009
448,Huntířov,Stará Oleška,škola,50.80071,14.3328276
449,Huntířov,dol.ves,50.7936478,14.3081837
449,Huntířov,dol.ves,50.7936821,14.3081484
450,Huntířov,kostel,50.78343,14.3012924
450,Huntířov,kostel,50.78346,14.3012142
343,Háj u Duchcova,50.6197128,13.7261915
343,Háj u Duchcova,50.6197128,13.7261915
341,Háj u Duchcova,Dolní Háj,50.6244125,13.7183666
342,Háj u Duchcova,Dolní Háj rozc.,50.62305,13.7173939
342,Háj u Duchcova,Dolní Háj rozc.,50.6224937,13.7190742
343,Háj u Duchcova,Dolní Háj žel.zast.,50.619545,13.7247534
343,Háj u Duchcova,Dolní Háj žel.zast.,50.61891,13.7255383
344,Háj u Duchcova,Horní Háj,50.6373062,13.7076721
344,Háj u Duchcova,Horní Háj,50.63741,13.7081308
345,Háj u Duchcova,ObÚ,50.63184,13.7110529
346,Háj u Duchcova,statek,50.640976,13.7153788
346,Háj u Duchcova,statek,50.6408577,13.7155409
2662,Hředle,50.18784,13.7474232
2662,Hředle,50.1880226,13.7477551
2662,Hředle,0.0,0.0
2662,Hředle,0.0,0.0
2663,Hředle,pod Džbánem,50.1937141,13.7461414
2663,Hředle,pod Džbánem,50.1933441,13.7462387
428,Hřensko,CLO,0.0,0.0
2452,Hřensko,Fährstelle,50.8749,14.2361965
425,Hřensko,Mezná,50.86846,14.2981043
427,Hřensko,Mezní Louka,50.87347,14.3165722
427,Hřensko,Mezní Louka,50.8734741,14.3167191
426,Hřensko,Mezní Louka,před hotelem,0.0,0.0
426,Hřensko,Mezní Louka,před hotelem,0.0,0.0
427,Hřensko,Mezní Louka,před hotelem,50.87347,14.3165722
427,Hřensko,Mezní Louka,před hotelem,50.8735657,14.3172359
430,Hřensko,Na výsluní,50.8669052,14.23149
430,Hřensko,Na výsluní,50.86694,14.2314043
432,Hřensko,Pravčická brána,50.88081,14.2701988
432,Hřensko,Pravčická brána,50.8809,14.2699556
429,Hřensko,k soutěskám,50.87435,14.2525349
429,Hřensko,k soutěskám,50.8743172,14.2523584
431,Hřensko,nábř.,50.8736229,14.2358694
431,Hřensko,nábř.,50.8730049,14.235404
431,Hřensko,nábř. (přestup F1 Schöna),0.0,0.0
431,Hřensko,přístaviště,50.8737526,14.2354708
2452,Hřensko,přívoz,50.8754425,14.2366934
2452,Hřensko,přívoz,50.87544,14.2368383
433,Hřensko,střed,50.8739433,14.2425385
433,Hřensko,střed,50.87412,14.2427654
434,Hřensko,úpravna vody,50.877037,14.2612123
434,Hřensko,úpravna vody,50.8770752,14.2611561
441,Hřivice,50.28552,13.725215
442,Hřivice,50.2881279,13.7307291
441,Hřivice (žst),50.28552,13.725215
438,Hřivice,Markvarec,50.27732,13.6951609
438,Hřivice,Markvarec,50.27723,13.6950541
440,Hřivice,Nová ulice,50.2910233,13.7320366
440,Hřivice,Nová ulice,50.29103,13.732233
439,Hřivice,Touchovice,50.30291,13.7310953
439,Hřivice,Touchovice,50.3031235,13.731019
441,Hřivice,žel.st.,0.0,0.0
441,Hřivice,žel.st.,50.28654,13.7264271
437,Hříškov,50.29146,13.8618889
437,Hříškov,50.29139,13.8619947
435,Hříškov,Bedřichovice,50.3031731,13.8809109
435,Hříškov,Bedřichovice,50.30345,13.8811531
436,Hříškov,škola,50.29288,13.8658886
436,Hříškov,škola,50.2928352,13.8659868
2113,Jablonné v Podještědí,0.0,0.0
2113,Jablonné v Podještědí,0.0,0.0
2113,Jablonné v Podještědí,0.0,0.0
554,Janov,50.85941,14.2657824
554,Janov,50.8594,14.2656841
555,Janov,50.58729,13.5640821
555,Janov,50.58751,13.5641737
552,Janov,Hájenky-soutěsky,50.8540459,14.2889042
552,Janov,Hájenky-soutěsky,50.8536873,14.2886534
552,Janov,Hájenky-soutěsky,50.854,14.2888031
550,Janov,bytovky,50.8593254,14.2692652
551,Janov,konečná,50.58861,13.5639009
553,Janov,u Myškovských,50.8568535,14.268383
553,Janov,u Myškovských,50.8568077,14.2683783
557,Janská,Drůbežárna,50.8037224,14.3727531
557,Janská,Drůbežárna,50.80372,14.3732271
556,Janská,bytovky,50.80736,14.3602018
556,Janská,bytovky,50.8073654,14.3601294
558,Janská,odb.VÚ,50.80111,14.40139
558,Janská,odb.VÚ,50.8010445,14.4013472
559,Janská,prodejna,50.8041573,14.3687782
559,Janská,prodejna,50.80372,14.3708353
560,Janská,u Bednářů,50.80447,14.3816986
560,Janská,u Bednářů,50.8044357,14.38162
2935,Jarpice,50.31911,14.086442
2935,Jarpice,50.3192177,14.086524
2114,Jedlová,50.8427162,14.5702991
2114,Jedlová,50.8427162,14.5702991
2607,Jedlová hr. VÚSC,0.0,0.0
2872,Jemníky,křiž.Knovíz,50.2157669,14.1237459
2872,Jemníky,křiž.Knovíz,50.2154274,14.1237669
565,Jeníkov,Oldřichov,50.63896,13.7561
565,Jeníkov,Oldřichov,50.63912,13.7562351
562,Jeníkov,Oldřichov,Barbora,50.6415024,13.7566433
563,Jeníkov,Oldřichov,ObÚ,50.6342239,13.7529211
563,Jeníkov,Oldřichov,ObÚ,50.63437,13.7532444
564,Jeníkov,Oldřichov,rozc.žel.st.,50.64155,13.7606611
564,Jeníkov,Oldřichov,rozc.žel.st.,50.6416321,13.7606573
566,Jeníkov,nám.,50.6288147,13.7491121
566,Jeníkov,nám.,50.6287575,13.7492676
2716,Jeníkov-Oldřichov,50.6359863,13.7549725
561,Jenčice,50.48151,14.0042534
561,Jenčice,50.48146,14.0048056
2468,Jesenice,50.0930634,13.4716415
2468,Jesenice,50.0930634,13.4716415
2466,Jesenice,Chotěšov,50.12033,13.4811087
2466,Jesenice,Chotěšov,50.1204376,13.4810972
2718,Jesenice,Podbořánky,50.05234,13.4509354
2718,Jesenice,Podbořánky,50.0522766,13.45088
3032,Jesenice,Podbořánky,50.0522766,13.45088
3032,Jesenice,Podbořánky,50.0522728,13.4509
2717,Jesenice,Tlestky,50.0757561,13.4640636
2717,Jesenice,Tlestky,50.07575,13.464179
2467,Jesenice,nám.,50.0980759,13.4707222
2467,Jesenice,nám.,50.0983238,13.4718523
2467,Jesenice,nám.,0.0,0.0
2467,Jesenice,nám.,0.0,0.0
2468,Jesenice,žel.st.,50.09312,13.4701586
2468,Jesenice,žel.st.,50.09308,13.470295
2435,Jestřebí,50.6141243,14.60035
578,Jetřichovice,ObÚ,50.85231,14.3933239
578,Jetřichovice,ObÚ,50.8523865,14.3935652
568,Jetřichovice,Rynartice,50.8527679,14.4241867
568,Jetřichovice,Rynartice,50.8529625,14.4241161
567,Jetřichovice,Rynartice,Pod zámečkem,50.8508644,14.42192
567,Jetřichovice,Rynartice,Pod zámečkem,50.8509064,14.4218817
579,Jetřichovice,Starý mlýn,50.85312,14.3784971
579,Jetřichovice,Starý mlýn,50.85317,14.3785152
572,Jetřichovice,Vysoká Lípa,Divoká soutěska,50.8655853,14.3336029
572,Jetřichovice,Vysoká Lípa,Divoká soutěska,50.86567,14.3335409
573,Jetřichovice,Vysoká Lípa,hotel Lípa,50.8557243,14.3503885
573,Jetřichovice,Vysoká Lípa,hotel Lípa,50.855938,14.3499393
574,Jetřichovice,Vysoká Lípa,rest.,50.8618279,14.3548021
574,Jetřichovice,Vysoká Lípa,rest.,50.861866,14.3550234
575,Jetřichovice,Vysoká Lípa,rozc.,50.8589859,14.3528423
575,Jetřichovice,Vysoká Lípa,rozc.,50.85896,14.3529205
571,Jetřichovice,Všemily,50.83748,14.3774948
571,Jetřichovice,Všemily,50.8374977,14.3773909
569,Jetřichovice,Všemily,konírna,50.8406944,14.3837309
569,Jetřichovice,Všemily,konírna,50.8402977,14.3830709
570,Jetřichovice,Všemily,rozc.,50.83671,14.371027
570,Jetřichovice,Všemily,rozc.,50.83678,14.3709555
576,Jetřichovice,host.,50.85237,14.396493
576,Jetřichovice,host.,50.85237,14.396493
576,Jetřichovice,host.,50.85234,14.3965712
577,Jetřichovice,koup.,50.8475838,14.3946972
577,Jetřichovice,koup.,50.8473244,14.39431
2625,Jetřichovice,lávka,0.0,0.0
2625,Jetřichovice,lávka,0.0,0.0
2818,Jeviněves,50.34471,14.33804
2818,Jeviněves,50.3453026,14.33825
591,Jimlín,50.3265724,13.7507868
592,Jimlín,50.31823,13.7465973
592,Jimlín,50.3181076,13.7466812
592,Jimlín,0.0,0.0
591,Jimlín (žst),50.3265724,13.7507868
591,Jimlín,Zeměchy,50.3277473,13.7490835
591,Jimlín,Zeměchy,50.3276176,13.7490292
2115,Jirkov,50.4930153,13.449379
2115,Jirkov,50.4930153,13.449379
604,Jirkov zast.,50.4854,13.4479017
604,Jirkov zast.,50.4854,13.4479017
595,Jirkov,Dvořákova,50.4991,13.44342
595,Jirkov,Dvořákova,50.49944,13.44354
596,Jirkov,Hornická,50.5030975,13.4419613
596,Jirkov,Hornická,50.503315,13.4415951
597,Jirkov,Horník,50.500946,13.4377651
597,Jirkov,Horník,50.5003738,13.4385147
11014,Jirkov,Hrdinů,50.4904556,13.4418449
11014,Jirkov,Hrdinů,50.49072,13.4422016
599,Jirkov,Jindřišská,50.5176964,13.4199352
599,Jirkov,Jindřišská,50.5175858,13.4198475
600,Jirkov,Jiráskova,50.5070152,13.4430008
600,Jirkov,Jiráskova,50.5072556,13.4421024
11015,Jirkov,Mládežnická,50.4999237,13.4293375
11015,Jirkov,Mládežnická,50.49971,13.4293709
11016,Jirkov,Na Borku,50.4973755,13.4324942
11016,Jirkov,Na Borku,50.49692,13.432848
11017,Jirkov,Nový Březenec,50.4945145,13.4373169
11017,Jirkov,Nový Březenec,50.49465,13.43798
11018,Jirkov,Palackého,50.4960327,13.4450216
11019,Jirkov,Staré Vinařice,50.5043678,13.4327917
11019,Jirkov,Staré Vinařice,50.5037575,13.4321442
11020,Jirkov,U chaty,50.50637,13.437665
11020,Jirkov,U chaty,50.50651,13.4369993
603,Jirkov,Vinařická I,50.502758,13.4390049
603,Jirkov,Vinařická I,50.5026627,13.4384851
593,Jirkov,aut.nádr.,50.4983139,13.4499788
593,Jirkov,aut.nádr.,50.4984322,13.450264
593,Jirkov,aut.nádr.,50.4985924,13.4500265
598,Jirkov,hřbitov,50.49589,13.4562674
598,Jirkov,hřbitov,50.4958534,13.4561758
601,Jirkov,osada,50.50655,13.44639
601,Jirkov,osada,50.5064926,13.4462614
11021,Jirkov,vodárna,50.50302,13.4262753
11021,Jirkov,vodárna,50.5031128,13.4256945
594,Jirkov,Červenohrádecká,50.50245,13.4459925
594,Jirkov,Červenohrádecká,50.5022163,13.4462461
602,Jirkov,školky,50.5094147,13.4612246
602,Jirkov,školky,50.50963,13.4611883
604,Jirkov,žel.st.,50.48603,13.4472675
604,Jirkov,žel.st.,50.4861336,13.4457045
604,Jirkov,žel.st.,50.48619,13.4456167
2116,Jiřetín p.Jedlovou,50.8830338,14.5805111
2970,Jiřetín p.Jedlovou,Lesné,50.86382,14.5875454
2970,Jiřetín p.Jedlovou,Lesné,50.86439,14.5877628
605,Jiřetín p.Jedlovou,nám.,50.8751755,14.5739326
605,Jiřetín p.Jedlovou,nám.,50.87508,14.5744123
2116,Jiřetín pod Jedlovou,50.8830338,14.5805111
608,Jiříkov,CLO,0.0,0.0
609,Jiříkov,Elitex,51.0001373,14.573658
609,Jiříkov,Elitex,51.0003662,14.5739965
606,Jiříkov,Filipov,kino,50.9849,14.5951195
606,Jiříkov,Filipov,kino,50.98499,14.5950871
607,Jiříkov,Filipov,kostel,50.980423,14.596983
607,Jiříkov,Filipov,kostel,50.98043,14.5970821
615,Jiříkov,Vyhlídka,50.971714,14.59564
615,Jiříkov,Vyhlídka,50.9718132,14.5958633
616,Jiříkov,Zahradní,50.9898224,14.5811892
616,Jiříkov,Zahradní,50.9898376,14.5813437
610,Jiříkov,kopec,50.99438,14.547081
610,Jiříkov,kopec,50.9943275,14.547121
611,Jiříkov,koup.,50.986618,14.5683966
611,Jiříkov,koup.,50.98667,14.5683126
612,Jiříkov,nám.,50.993515,14.5682659
612,Jiříkov,nám.,50.9936142,14.5684748
613,Jiříkov,předměstí,50.9812431,14.5673084
613,Jiříkov,předměstí,50.98144,14.5671663
614,Jiříkov,škola,50.9924164,14.5745821
614,Jiříkov,škola,50.9925423,14.5740662
2684,Jáchymov,Klínovec,50.3949966,12.9679
2386,Jílové u Děčína,50.7597771,14.105402
580,Jílové,Kamenec,50.7595062,14.0758324
580,Jílové,Kamenec,50.7595367,14.075325
582,Jílové,Martiněves,50.7743568,14.1269484
582,Jílové,Martiněves,50.7747078,14.1272755
581,Jílové,Martiněves,rozc.,50.77032,14.1214037
581,Jílové,Martiněves,rozc.,50.770195,14.1213989
584,Jílové,Modrá,50.7604141,14.0819292
584,Jílové,Modrá,50.7603722,14.0811605
583,Jílové,Modrá,Lidový dům,50.7615929,14.0939369
583,Jílové,Modrá,Lidový dům,50.7613678,14.09252
588,Jílové,Sněžník,50.78535,14.0874443
588,Jílové,Sněžník,50.78535,14.0874443
585,Jílové,Sněžník,celnice,50.8074951,14.0841818
585,Jílové,Sněžník,celnice,50.8075333,14.0843649
586,Jílové,Sněžník,lesní správa,50.79726,14.0830479
586,Jílové,Sněžník,lesní správa,50.79728,14.0831432
587,Jílové,Sněžník,rest.Hraničář,50.7914963,14.0872927
587,Jílové,Sněžník,rest.Hraničář,50.79169,14.0871716
589,Jílové,nám.,50.7617455,14.1069717
589,Jílové,nám.,50.761116,14.1055059
590,Jílové,papírny,50.7638741,14.1123228
590,Jílové,papírny,50.7637558,14.1116838
2463,Jílové,sídliště,50.76569,14.1106033
617,Kadaň,50.38187,13.2769938
617,Kadaň,50.38187,13.2769938
2117,Kadaň předm.,50.3762131,13.2764435
2117,Kadaň předměstí,50.3762131,13.2764435
2634,Kadaň,,Kpt.Jaroše u kina,50.38312,13.2706347
2634,Kadaň,,Kpt.Jaroše u kina,50.38305,13.2709217
2687,Kadaň,5.května u školního statku,50.37962,13.2737923
2687,Kadaň,5.května u školního statku,50.3795662,13.2735071
618,Kadaň,Chomutovská sídl.B,50.3886757,13.27219
618,Kadaň,Chomutovská sídl.B,50.3891335,13.2722225
2689,Kadaň,Františkánský klášter,50.37898,13.2599487
2685,Kadaň,Jana Roháče Šuplík,50.38612,13.2672691
2685,Kadaň,Jana Roháče Šuplík,0.0,0.0
619,Kadaň,Jungmanova,50.37799,13.266346
619,Kadaň,Jungmanova,50.37781,13.2663889
620,Kadaň,KOH-I-NOOR,50.37916,13.2825651
620,Kadaň,KOH-I-NOOR,50.3789368,13.28333
2688,Kadaň,Komenského tržnice,50.3777542,13.2681379
622,Kadaň,Královský Vrch,50.39365,13.2543774
622,Kadaň,Královský Vrch,50.39395,13.255785
2697,Kadaň,Na Podlesí sídl.D,50.38524,13.2636395
2696,Kadaň,Pod sv.kopečkem,50.3830681,13.2641745
2693,Kadaň,Polní,50.37592,13.28263
2693,Kadaň,Polní,50.37599,13.283637
2690,Kadaň,Strážiště,50.38228,13.2543488
2695,Kadaň,U Hřbitova,50.3795052,13.2769785
2686,Kadaň,U Nádraží,50.38129,13.2755117
2686,Kadaň,U Nádraží,50.3813324,13.2757578
2694,Kadaň,Věžní Keramost,50.375988,13.2769966
2694,Kadaň,Věžní Keramost,50.3756447,13.2770357
617,Kadaň,aut.nádr.,50.3801,13.27611
617,Kadaň,aut.nádr.,50.37988,13.2760592
617,Kadaň,aut.nádr.,50.3796844,13.2760286
617,Kadaň,aut.nádr.,50.3795242,13.2759972
617,Kadaň,aut.nádr.,50.3793526,13.2759647
617,Kadaň,aut.nádr.,50.3799858,13.2762594
617,Kadaň,aut.nádr.,50.37975,13.2762108
617,Kadaň,aut.nádr.,50.3795929,13.2762
617,Kadaň,aut.nádr.,50.3794022,13.2761631
621,Kadaň,koupaliště,50.38442,13.2717037
621,Kadaň,koupaliště,50.38432,13.2715416
2699,Kadaň,nemocnice děts.odd.,50.3905258,13.2684889
2699,Kadaň,nemocnice děts.odd.,50.3910255,13.2676849
623,Kadaň,nemocnice poliklinika,50.39084,13.2708607
623,Kadaň,nemocnice poliklinika,50.3909264,13.27138
2698,Kadaň,pošta,50.38244,13.26774
2698,Kadaň,pošta,50.3825073,13.2677231
2930,Kadaň,statek Jezerka,0.0,0.0
2930,Kadaň,statek Jezerka,0.0,0.0
624,Kadaň,u mostu,50.37585,13.274312
624,Kadaň,u mostu,50.37547,13.2747021
2624,Kadaň-Bystřice,50.39631,13.27571
2118,Kadaň-Prunéřov,50.41235,13.2588081
2118,Kadaň-Prunéřov,50.41235,13.2588072
2700,Kadaňská Jeseň,50.365715,13.2669439
2700,Kadaňská Jeseň,50.3657227,13.2668419
625,Kadaňský Rohozec,50.2799721,13.2260885
625,Kadaňský Rohozec,50.2836571,13.2257423
625,Kadaňský Rohozec,50.2836571,13.2257423
626,Kalek,50.5780029,13.3153334
626,Kalek,50.57793,13.31525
2388,Kamenec,50.7559052,14.0703411
2381,Kamenický Šenov,0.0,0.0
2381,Kamenický Šenov,0.0,0.0
2223,Kamenický Šenov,U křížku,50.7717552,14.4799271
2223,Kamenický Šenov,U křížku,50.7716675,14.47993
2381,Kamenický Šenov,žel.st.,50.7826157,14.4644318
2381,Kamenický Šenov,žel.st.,50.7828026,14.4645081
2771,Kamenné Žehrovice,50.12782,14.0161085
2771,Kamenné Žehrovice,50.1279564,14.0156107
2770,Kamenné Žehrovice,Háje,50.1281776,14.0287542
2770,Kamenné Žehrovice,Háje,50.1283951,14.0285931
630,Kamýk,50.5582657,14.0775375
629,Kamýk,rozc.,50.5565071,14.0699644
629,Kamýk,rozc.,50.55644,14.0697508
2119,Karlov p.Ještědem,0.0,0.0
2119,Karlov p.Ještědem,0.0,0.0
2119,Karlov pod Ještědem,0.0,0.0
2120,Karlovy Vary,0.0,0.0
2120,Karlovy Vary,0.0,0.0
3004,Karlovy Vary,Mattoniho nábř.,50.23971,12.8894262
3004,Karlovy Vary,Mattoniho nábř.,50.2398148,12.8893957
3002,Karlovy Vary,Mlékárna,50.230957,12.8702059
3002,Karlovy Vary,Mlékárna,50.23489,12.8758936
3005,Karlovy Vary,Olšová Vrata,rozc.,50.2122345,12.9196014
3005,Karlovy Vary,Olšová Vrata,rozc.,50.2124519,12.9200706
3003,Karlovy Vary,Prašná,50.237072,12.8840141
3003,Karlovy Vary,Prašná,50.2362976,12.8822336
3000,Karlovy Vary,terminál,50.229908,12.8639708
3001,Karlovy Vary,tržnice,50.230957,12.8702059
2121,Kaznějov,0.0,0.0
2121,Kaznějov,0.0,0.0
2426,Kaštice,50.26162,13.4179516
2426,Kaštice,50.26162,13.4179516
632,Keblice,50.48345,14.10644
632,Keblice,50.4833832,14.1064825
632,Keblice,50.48334,14.1060057
632,Keblice,50.4831924,14.1060438
631,Keblice,cihelna,50.4893341,14.0981855
631,Keblice,cihelna,50.48929,14.0980949
3125,Kladno,Husova,50.16392,14.1023569
3125,Kladno,Husova,50.1639328,14.1015444
3127,Kladno,Na Kopci,50.16193,14.113204
3127,Kladno,Na Kopci,50.1619225,14.1132126
2805,Kladno,Rakovnická,50.1364861,14.06016
2805,Kladno,Rakovnická,50.13637,14.0594654
3041,Kladno,Rozdělov,50.14048,14.0653725
3041,Kladno,Rozdělov,50.1406746,14.0654984
3124,Kladno,Seifertova,50.1634331,14.09567
3124,Kladno,Seifertova,50.1636,14.0969038
3040,Kladno,Smečenská,50.14289,14.0580635
3040,Kladno,Smečenská,50.14232,14.0592
3126,Kladno,U Knotků,50.16366,14.1072807
3126,Kladno,U Knotků,50.1637726,14.1067924
2800,Kladno,aut.nádr.,50.1458,14.1060009
2800,Kladno,aut.nádr.,50.14586,14.1061611
2800,Kladno,aut.nádr.,50.14602,14.10617
2800,Kladno,aut.nádr.,50.1463051,14.1055231
3045,Kladno,autobusové nádraží,50.14608,14.1058111
3045,Kladno,autobusové nádraží,50.14586,14.1061611
3045,Kladno,autobusové nádraží,50.1463051,14.1055231
3128,Kladno,gymnasium,50.1418762,14.0980854
3128,Kladno,gymnasium,50.1425247,14.097579
2801,Kladno,nám.Svobody,50.1453247,14.0943136
2801,Kladno,nám.Svobody,50.14474,14.0936
2801,Kladno,nám.Svobody,50.1457672,14.0958385
2801,Kladno,nám.Svobody,50.1460037,14.0959883
3044,Kladno,nám.Svobody,50.1450577,14.0943384
3044,Kladno,nám.Svobody,50.14501,14.093667
3044,Kladno,nám.Svobody,50.14599,14.0960188
3044,Kladno,nám.Svobody,50.1458054,14.095768
